"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0003735","GO:0003735","structural constituent of ribosome",56,-0.83987013355913,-2.49333026731183,1e-10,3.56932694685397e-09,2.39093671081127e-09,492,"tags=82%, list=10%, signal=75%","sll1816/ssr0482/sll1744/ssr1736/sll1817/smr0011/sll1819/ssl2233/sll1822/slr1678/sll1803/sll1806/sll1096/sll1811/sll0767/ssr1398/sll1800/sll1740/sll1745/sll1799/ssl1426/sll1812/sll1746/ssr1399/sll1824/ssl1784/slr0469/sll1801/sml0006/sll1802/sll1101/sll1810/sll1743/slr0628/sll1808/ssl3432/ssl3436/sll1805/sll1804/ssl3445/sll1807/ssl3437/sll1809/ssr2799/sll1097/sll1260"
"GO:0006412","GO:0006412","translation",63,-0.815303018316458,-2.46505840855069,1e-10,3.56932694685397e-09,2.39093671081127e-09,492,"tags=79%, list=10%, signal=73%","slr1356/sll1821/sll0145/sll1816/ssr0482/sll1744/slr0877/ssr1736/sll1817/smr0011/sll1819/ssl2233/sll1822/slr1678/sll1803/sll1806/sll1096/sll1811/sll0767/ssr1398/sll1800/sll1740/sll1745/sll1799/ssl1426/sll1812/sll1746/ssr1399/sll1824/ssl1784/slr0469/sll1801/sml0006/sll1435/sll1101/sll1743/slr0628/sll1808/ssl3432/ssl3436/sll1805/sll1804/ssl3445/sll1807/ssl3437/sll1809/ssr2799/sll1097/slr1549/sll1260"
"GO:0019843","GO:0019843","rRNA binding",36,-0.856505557559961,-2.37728447316003,1e-10,3.56932694685397e-09,2.39093671081127e-09,492,"tags=75%, list=10%, signal=68%","sll1816/sll1744/slr0321/sll1817/slr1678/sll1803/sll1096/sll0767/sll1800/sll1799/sll1812/ssl1784/slr0469/sll1801/sll1802/sll1810/slr0628/ssl3441/sll1808/ssl3432/sll1805/sll1804/ssl3445/sll1807/ssl3437/sll1809/sll1097"
"GO:0031676","GO:0031676","plasma membrane-derived thylakoid membrane",114,-0.648740249126327,-2.10722386773684,1.17994279234842e-10,3.56932694685397e-09,2.39093671081127e-09,987,"tags=56%, list=19%, signal=46%","sll1579/sml0007/slr1181/slr0331/sll0616/slr0927/sll0199/ssl2009/sll0412/sll1513/slr1835/slr0342/slr0906/sll0258/ssl2598/ssl0563/slr0823/sll0851/slr1834/sml0004/slr1643/slr1796/sll1324/smr0008/slr2051/sll1323/sll0427/slr1459/sll1317/sll0849/sml0005/ssl3335/slr0343/smr0010/sll1322/ssl2615/slr1604/sll1814/sll1316/sll1578/sll1326/sll0247/slr1986/slr1390/sll1262/sll0223/slr1034/sll0520/sll1577/sll1325/sll1327/slr1279/slr1949/sll0519/slr2067/sll0522/slr1330/slr0335/slr1329/slr1623/slr1281/ssr1386/slr1280/slr0261"
"GO:0022625","GO:0022625","cytosolic large ribosomal subunit",20,-0.884248036153542,-2.14993647403479,9.96412766761648e-10,2.41131889556319e-08,1.61523753769783e-08,337,"tags=85%, list=7%, signal=80%","sll1819/sll1803/sll1806/sll1811/sll0767/sll1740/sll1745/sll1799/ssl1426/sll1746/sll1801/sll1802/sll1810/sll1743/sll1808/ssl3436/ssr2799"
"GO:0005737","GO:0005737","cytoplasm",304,-0.510059358747895,-1.82233184296276,1.75405052612601e-09,3.53733522768745e-08,2.3695068510825e-08,1288,"tags=46%, list=25%, signal=37%","slr0381/sll1296/slr0233/sll1120/slr1842/sll0643/sll1495/ssr2061/sll0896/sll1633/slr0733/sll0844/sll0098/sll1776/slr0053/sll1902/sll1496/slr1679/sll0865/slr0900/sll0495/sll0080/slr0542/slr1090/sll1868/slr0839/sll1626/slr1703/slr0585/slr0787/slr0609/sll0804/sll1342/slr0520/slr0638/sll0567/slr0661/slr1848/sll1110/sll1621/sll0467/slr1748/sll0225/slr0807/sll1676/sll1932/sll0868/sll1558/sll0017/sll0402/slr1565/slr0156/sll1818/sll1343/sll1612/slr0434/slr0070/slr0267/sll0660/slr0084/slr0551/slr0744/sll1056/sll0030/slr0545/slr0633/slr0444/sll0902/slr0011/slr1887/sll0145/sll0373/sll0613/sll1883/slr1791/slr0812/ssr0482/slr0958/sll0454/slr0186/slr1423/slr2130/sll0569/sll0900/sll1893/slr0623/slr1560/slr1022/slr1720/slr1598/sll0401/sll0154/sll1669/sll2010/slr0519/slr1678/sll0899/slr0379/sll0148/sll0534/sll0083/sll1941/slr0536/sll1823/sll0379/sll0936/sll1662/slr0017/slr2075/ssr1398/sll1498/sll1185/slr0734/slr1898/slr2102/sll0469/slr0165/sll1261/sll0144/slr0526/sll0057/sll2005/sll1536/sll1815/slr1463/sll1362/sll0370/slr1462/sll0020/sll1931/slr0628/sll1172/sll1605/slr0608/sll0078/sll0170/sll1525/slr0652/slr0357/slr0500/sll1099"
"GO:0048038","GO:0048038","quinone binding",16,-0.891195000502633,-2.03810920953137,2.62298827191736e-08,4.5340225843143e-07,3.03714431485168e-07,214,"tags=75%, list=4%, signal=72%","sll1262/sll0223/sll0520/slr1279/sll0519/sll0521/sll0522/slr1623/slr1281/ssr1386/slr1280/slr0261"
"GO:0022627","GO:0022627","cytosolic small ribosomal subunit",11,-0.914692365395745,-1.93499472406005,7.61469528867791e-07,1.15172266241253e-05,7.71488864773946e-06,387,"tags=91%, list=8%, signal=84%","sll1817/sll1822/ssr1399/ssl1784/ssl3432/sll1804/ssl3437/sll1809/sll1097/sll1260"
"GO:0000049","GO:0000049","tRNA binding",26,-0.783721176781309,-2.00637856355962,1.19811284420723e-06,1.61079615721194e-05,1.07900221057259e-05,554,"tags=58%, list=11%, signal=52%","sll0179/sll1816/sll0454/sll1744/slr1550/sll0825/sll1553/sll1096/sll0362/sll1362/sll1101/sll1808/sll1805/sll0078/sll1097"
"GO:0019684","GO:0019684","photosynthesis, light reaction",11,-0.899150296077626,-1.90211610468016,4.48702591231806e-06,5.42930135390485e-05,3.63685258156306e-05,213,"tags=82%, list=4%, signal=79%","sll0258/sll0223/sll0520/slr1279/sll0519/sll0522/slr1281/slr1280/slr0261"
