"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0031676","GO:0031676","plasma membrane-derived thylakoid membrane",114,-0.728605344157214,-1.84820994980687,1e-10,1.21e-08,9.15789473684211e-09,797,"tags=58%, list=16%, signal=50%","ssr3383/sml0008/sll0928/sll0258/sml0007/slr1181/ssr3451/slr0906/smr0006/sml0001/slr0927/sll0199/sll1327/sll1513/slr1964/ssl2598/sll1579/ssl2615/sll1326/slr2051/smr0004/sll1322/sll1323/sll1578/sll0427/slr1390/slr1329/sll1577/slr2087/sll1324/sll1325/smr0007/sll1316/smr0010/sll0849/smr0008/slr0335/slr1655/slr1986/sml0004/sll0247/slr0342/slr1279/sll0851/sll1262/sll1814/slr0343/sll0223/sll0616/sll1317/sml0005/slr1835/sll0520/slr2067/ssl0563/slr1834/sll0519/sll0522/slr1623/slr1330/slr1281/slr1034/ssr1386/slr1280/slr0261/slr1949"
"GO:0003735","GO:0003735","structural constituent of ribosome",56,-0.782241436724012,-1.91858512043744,2.05078759361144e-08,1.24072649413492e-06,9.39044845495765e-07,958,"tags=77%, list=19%, signal=63%","sll1819/sll1744/smr0011/sll1822/ssr0482/sll1813/ssl0601/ssl3432/ssl3445/ssr1604/sll1824/sll1807/ssl1426/sll1740/ssl3436/ssl1784/sll1096/sll1800/slr1356/sll1821/sll1816/sll1801/slr1678/sml0006/slr0469/sll1811/sll1745/sll1805/ssl2233/sll1746/sll1804/sll1808/sll1817/sll1809/sll1743/slr0628/sll1812/sll0767/ssr2799/sll1101/sll1810/sll1097/sll1260"
"GO:0006412","GO:0006412","translation",63,-0.759380428350932,-1.86908884360332,3.47278030209058e-08,1.40068805517653e-06,1.06011188169081e-06,958,"tags=71%, list=19%, signal=59%","sll1819/sll1744/smr0011/sll1822/ssr0482/sll1813/ssl0601/ssl3432/ssl3445/ssr1604/sll1824/sll1807/ssl1426/sll1740/ssl3436/ssl1784/sll1096/sll1800/slr1356/sll1821/sll1816/sll1801/slr1678/sml0006/slr0877/slr0469/sll1811/sll1745/sll1805/ssl2233/sll1746/sll1804/sll1808/sll1817/sll1809/sll1743/slr0628/sll1812/sll0767/ssr2799/sll1101/sll1097/sll1435/slr1549/sll1260"
"GO:0048038","GO:0048038","quinone binding",16,-0.915949419576298,-1.86676854650574,1.51874757879312e-07,4.5942114258492e-06,3.47713261460531e-06,360,"tags=81%, list=7%, signal=76%","slr0565/slr1279/sll1262/sll0223/sll0520/sll0521/sll0519/sll0522/slr1623/slr1281/ssr1386/slr1280/slr0261"
"GO:0008137","GO:0008137","NADH dehydrogenase (ubiquinone) activity",15,-0.905741673559504,-1.83517277197847,2.06047145922006e-06,4.98634093131255e-05,3.77391614636096e-05,243,"tags=53%, list=5%, signal=51%","slr1279/sll0223/sll0520/sll0521/sll1733/slr1281/sll1732/slr1280"
"GO:0019843","GO:0019843","rRNA binding",36,-0.777314331467837,-1.82631744870769,9.8346508888359e-06,0.000198332126258191,0.000150107829355916,811,"tags=67%, list=16%, signal=57%","sll1813/ssl3432/ssl3445/sll1807/ssl1784/sll1096/sll1800/sll1816/sll1801/slr1678/slr0469/sll1805/slr0321/slr1129/sll1804/sll1808/sll1817/sll1809/slr0628/sll1812/sll0767/sll1810/ssl3441/sll1097"
"GO:0005737","GO:0005737","cytoplasm",304,-0.54547236936332,-1.41219687311259,4.85489868305003e-05,0.000839203915212933,0.000635152158534364,851,"tags=30%, list=17%, signal=27%","ssr0482/slr1887/sll1941/slr0551/sll1394/sll0631/slr0812/slr2075/slr1256/slr2130/sll1883/slr0519/sll0569/sll0905/sll1893/sll1018/slr1238/sll1056/slr0553/sll0643/slr0444/slr0623/sll0402/sll1776/sll1296/sll0467/sll0454/slr1598/sll1669/sll0896/slr0084/sll1498/sll1868/sll1676/slr0542/slr1367/slr1139/slr1510/slr1022/sll1902/sll1342/sll0804/slr1423/slr1748/slr0165/slr0536/sll0370/sll0144/sll1818/slr1678/sll1362/slr2102/slr0526/sll1343/slr0543/slr1884/sll0379/sll2010/slr1463/slr0545/sll1932/slr1129/sll0030/slr0633/sll0613/sll1185/sll2005/sll0148/slr0608/slr0734/sll0020/slr0156/slr0628/sll1525/sll1815/sll0057/sll0083/sll1605/sll0078/sll0154/sll0469/sll1662/slr1462/sll1099/slr0017/slr0357/sll1633/sll1931/sll0170/sll1172/sll1536/slr0500"
"GO:0019684","GO:0019684","photosynthesis, light reaction",11,-0.904694018430741,-1.74736026189369,5.62609540140298e-05,0.000850946929462201,0.000644039868318499,243,"tags=73%, list=5%, signal=69%","slr1279/sll0223/sll0520/sll0519/sll0522/slr1281/slr1280/slr0261"
"GO:0042773","GO:0042773","ATP synthesis coupled electron transport",11,-0.890236221757079,-1.71943592629797,0.000163700578087994,0.00220086332762748,0.0016657251805445,203,"tags=36%, list=4%, signal=35%","sll0223/sll0522/sll1733/sll1732"
"GO:0015979","GO:0015979","photosynthesis",82,-0.624943607893479,-1.56250860698468,0.000597099381765244,0.00722490251935946,0.00546817328563961,1142,"tags=55%, list=22%, signal=43%","sll1028/sll1194/slr1459/sml0002/slr1839/sll0819/sll1471/slr0823/ssr2831/ssr0330/ssr3383/sml0008/sll0928/sll1796/sml0007/sll1245/sml0001/ssl2598/sll1579/sll0554/slr2051/smr0004/sll1578/sll1577/sll1214/smr0007/sll1316/smr0010/smr0008/slr1030/slr0335/slr0737/slr1655/slr1986/sml0004/slr0342/slr0525/sll1317/slr1055/sml0005/slr1835/slr2067/slr1834/sll1184/slr0611"
"GO:0003729","GO:0003729","mRNA binding",12,-0.847511511853301,-1.66146977098745,0.000759749909505242,0.00835724900455766,0.00632519063415847,493,"tags=67%, list=10%, signal=60%","slr1356/sll1821/ssr1766/slr0298/slr0665/sll1746/sll1804/sll1097"
"GO:0022625","GO:0022625","cytosolic large ribosomal subunit",20,-0.78461533021354,-1.67339403918333,0.000832942824783703,0.00839884014990234,0.00635666892598089,642,"tags=80%, list=13%, signal=70%","sll1244/sll1819/sll1813/ssl1426/sll1740/ssl3436/sll1821/sll1801/sll1811/sll1745/sll1746/sll1808/sll1743/sll0767/ssr2799/sll1810"
"GO:0016168","GO:0016168","chlorophyll binding",14,-0.828374205206942,-1.6648548556787,0.000962824508432113,0.00896167427079121,0.00678265038328695,790,"tags=64%, list=15%, signal=55%","slr1181/slr0906/slr0927/sll0849/ssl1633/sll0247/sll0851/slr1835/slr1834"
"GO:0009060","GO:0009060","aerobic respiration",13,-0.82890040933764,-1.65403017855037,0.00150447321478779,0.0124115360168629,0.00939368102189712,123,"tags=23%, list=2%, signal=23%","sll0519/sll1733/slr1280"
