"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"syn03010","syn03010","Ribosome - Synechocystis sp. PCC 6803",54,-0.868978139694565,-2.5061821884371,1e-10,3.35e-09,1.89473684210526e-09,492,"tags=85%, list=10%, signal=78%","sll1816/ssr0482/sll1744/ssr1736/sll1817/smr0011/sll1819/ssl2233/sll1822/slr1678/sll1803/sll1806/sll1096/sll1811/sll0767/ssr1398/sll1800/sll1740/sll1745/sll1799/ssl1426/sll1812/sll1746/ssr1399/sll1824/ssl1784/slr0469/sll1801/sml0006/sll1802/sll1101/sll1810/sll1743/slr0628/sll1808/ssl3432/ssl3436/sll1805/sll1804/ssl3445/sll1807/ssl3437/sll1809/ssr2799/sll1097/sll1260"
"syn01110","syn01110","Biosynthesis of secondary metabolites - Synechocystis sp. PCC 6803",299,-0.559594805280357,-1.98813581006827,1e-10,3.35e-09,1.89473684210526e-09,981,"tags=46%, list=19%, signal=39%","slr0520/slr0879/slr0012/sll0053/slr0661/slr1848/sll0603/sll1383/slr0985/slr1165/slr0237/sll1676/slr0066/sll1370/sll0033/sll1558/slr0032/sll0017/sll0402/slr0121/sll0585/slr0597/sll0480/sll0171/sll0404/sll1721/sll0927/sll1112/slr0665/slr2074/slr0084/slr0886/sll1058/sll1894/sll1468/sll0409/slr0348/slr2089/slr1099/sll1056/sll1831/slr0444/sll1127/sll1747/sll0902/sll0757/slr0194/slr1887/sll0147/slr0452/sll1797/slr1790/slr1300/sll5079/slr0926/sll0179/sll0373/slr1096/slr0739/sll1883/sll1470/slr0657/slr1369/slr1867/slr1518/slr1542/sll0728/slr0186/sll0421/slr2130/slr0204/sll0065/slr0951/slr1226/sll0900/slr0435/sll1893/slr1254/slr2088/slr1560/sll0807/slr1022/slr1055/slr0056/sll0401/slr0493/slr1030/slr0054/sll0711/sll1669/slr1348/slr0519/slr1777/slr1808/sll1945/sll0356/slr0536/sll1363/slr1159/slr1517/sll0936/sll1662/sll0336/slr0293/slr0116/slr0817/sll1498/sll0578/sll1958/sll1185/sll1841/sll0506/slr0525/slr1898/sll0469/sll1070/sll0455/slr0526/sll0018/slr2136/sll1815/slr1255/sll0019/ssl2084/sll0370/slr0611/sll1184/slr1945/sll1931/sll1994/sll1172/sll0504/slr0608/slr1934/slr0652/slr0500/slr0546"
"syn00190","syn00190","Oxidative phosphorylation - Synechocystis sp. PCC 6803",50,-0.725867910165178,-2.07157558091324,3.41714698269e-08,7.63162826134099e-07,4.31639618866105e-07,525,"tags=46%, list=10%, signal=42%","sll1324/sll1323/sll1322/ssl2615/sll1326/sll1262/sll0223/sll1733/sll0520/sll1732/sll1325/sll1327/slr1279/sll0519/sll0521/sll0522/slr1330/slr1329/slr1623/slr1281/ssr1386/slr1280/slr0261"
"syn01230","syn01230","Biosynthesis of amino acids - Synechocystis sp. PCC 6803",92,-0.634676930757882,-1.97688632030298,5.72709587299974e-08,9.59288558727457e-07,5.42566977442081e-07,1007,"tags=57%, list=20%, signal=46%","slr0394/sll1342/slr0661/slr1848/slr0032/sll0402/sll0480/sll0927/sll1112/slr0665/slr0084/sll1058/slr0444/sll1747/sll0902/slr0194/slr0452/sll0373/sll1883/sll1470/slr0657/slr1867/slr0186/slr2130/sll0065/sll0900/sll1893/slr2088/slr1560/sll0807/slr1022/sll0401/sll1669/slr1348/sll0356/sll1363/slr1517/sll1662/sll1958/slr1898/sll0469/sll1070/sll0455/sll0018/slr1945/sll1931/sll1172/sll0504/slr0608/slr0652/slr0500/slr0546"
"syn01240","syn01240","Biosynthesis of cofactors - Synechocystis sp. PCC 6803",139,-0.552532440842648,-1.8183291746382,1.51541751258278e-06,2.03065946686092e-05,1.14852695690484e-05,939,"tags=42%, list=18%, signal=35%","sll0603/slr1748/slr0066/sll0868/sll1558/slr0032/sll0017/slr0903/sll1612/sll0927/slr2074/slr0886/sll1894/sll0409/slr1099/sll0635/slr0633/sll1127/slr1887/sll1797/slr1790/slr1300/sll5079/slr0926/sll0179/slr1096/slr1787/slr0812/slr1518/sll0421/sll1443/sll0838/slr0204/slr0969/sll0037/sll0753/sll0250/slr1598/slr0493/slr0917/slr1808/slr1364/slr0536/sll1823/sll0936/slr0118/slr0817/sll1498/sll1185/sll0144/slr0526/sll1815/sll0370/sll1069/slr1979/sll1931/sll1994/sll1605"
"syn01232","syn01232","Nucleotide metabolism - Synechocystis sp. PCC 6803",30,-0.753944965008558,-1.94940619631055,2.90071325429382e-06,3.2391298006281e-05,1.83202942376452e-05,686,"tags=47%, list=13%, signal=41%","sll1635/sll0368/sll1258/sll0421/sll1443/slr0213/slr0379/sll0398/sll1823/sll0144/sll1815/slr1123/slr0591/slr1164"
"syn00970","syn00970","Aminoacyl-tRNA biosynthesis - Synechocystis sp. PCC 6803",26,-0.758655679222336,-1.9090139410767,2.38136988531884e-05,0.000199439727895453,0.00011280173140984,554,"tags=77%, list=11%, signal=69%","slr0220/sll0495/slr1703/slr0638/slr0070/sll0179/slr0958/sll0454/slr1550/slr0877/sll1553/slr1720/sll1425/sll0362/sll1074/slr0557/sll1362/sll1435/sll0078/slr0357"
"syn00900","syn00900","Terpenoid backbone biosynthesis - Synechocystis sp. PCC 6803",14,-0.844273909416099,-1.899142889487,2.21862741747549e-05,0.000199439727895453,0.00011280173140984,699,"tags=79%, list=14%, signal=68%","slr0348/slr1099/slr0739/slr1542/slr0951/sll0711/sll1945/sll0506/slr2136/sll0019/slr0611"
"syn00240","syn00240","Pyrimidine metabolism - Synechocystis sp. PCC 6803",28,-0.731430244091892,-1.86298295703318,3.73148697805864e-05,0.000277788475033254,0.000157115241181416,686,"tags=39%, list=13%, signal=34%","sll1635/sll0368/sll1258/sll1443/sll0838/slr0379/sll1498/sll0144/sll0370/slr0591/slr1164"
"syn01210","syn01210","2-Oxocarboxylic acid metabolism - Synechocystis sp. PCC 6803",26,-0.750004290808911,-1.88724435370891,4.29532480473261e-05,0.000287786761917085,0.000162770203126709,875,"tags=73%, list=17%, signal=61%","slr0032/sll0402/sll1721/slr0665/slr0452/slr1096/sll1883/sll1470/slr0657/slr0186/sll0065/slr2088/slr1022/sll0401/sll1363/slr1517/sll1841/slr1898/slr1934"
"syn01200","syn01200","Carbon metabolism - Synechocystis sp. PCC 6803",73,-0.561437206723367,-1.71035276169757,0.000431912914353258,0.0026307422965153,0.00148792965710213,1028,"tags=40%, list=20%, signal=32%","slr0009/slr0394/sll1342/slr0879/slr0012/sll0053/sll0171/sll1721/slr0665/slr2141/slr0194/slr1096/sll0728/slr0435/sll0807/sll0753/sll0401/slr1348/sll0336/slr0293/sll1841/sll0920/sll0469/sll1070/sll0018/slr1945/sll1931/slr1934/sll1525"
"syn00550","syn00550","Peptidoglycan biosynthesis - Synechocystis sp. PCC 6803",18,-0.729942481203817,-1.72401342774376,0.00121999638077014,0.00628767365473844,0.00355626475366196,454,"tags=61%, list=9%, signal=56%","slr0938/slr0804/slr1423/sll2010/sll0657/sll1833/slr1424/slr1656/slr0017/sll0210/sll0506"
"syn00195","syn00195","Photosynthesis - Synechocystis sp. PCC 6803",63,-0.566959941396359,-1.67808968919067,0.00115415272267696,0.00628767365473844,0.00355626475366196,967,"tags=51%, list=19%, signal=42%","sml0007/slr1181/slr0927/sll0199/slr1835/slr0342/slr0737/slr0906/sll0258/ssl2598/ssl0563/sll0851/slr1834/sml0004/slr1643/sll1324/smr0008/sll1323/sll0427/sll1317/sll0849/sml0005/slr0343/smr0010/sll1322/ssl2615/sll1316/sll1326/sll1325/sll1327/slr1330/slr1329"
"syn01120","syn01120","Microbial metabolism in diverse environments - Synechocystis sp. PCC 6803",129,-0.473877839057035,-1.55157439210737,0.00233626729412791,0.011180707764755,0.00632373102169961,1028,"tags=36%, list=20%, signal=29%","slr0009/sll1440/slr0394/sll1342/slr0012/sll0053/slr1165/sll0017/sll0404/sll1721/slr0898/slr0665/sll1058/slr1099/sll1831/slr2141/slr0194/slr1887/sll1454/sll0179/slr1096/slr1791/slr0657/slr0963/sll0728/slr0435/sll0807/sll0753/slr1022/sll0401/slr1348/slr1808/sll0336/sll1841/sll0920/sll0469/sll1070/sll0455/sll0018/slr1945/sll1931/sll1994/sll1172/sll0504/slr1934/sll1525"
"syn03030","syn03030","DNA replication - Synechocystis sp. PCC 6803",12,-0.758776738997987,-1.64843462222049,0.00554933274354688,0.0232371278654666,0.0131427588869882,477,"tags=42%, list=9%, signal=38%","sll0544/slr0925/slr0833/sll1360/slr0446"
"syn00130","syn00130","Ubiquinone and other terpenoid-quinone biosynthesis - Synechocystis sp. PCC 6803",19,-0.683739321683786,-1.63052739926757,0.0058959876673572,0.0232371278654666,0.0131427588869882,701,"tags=58%, list=14%, signal=50%","sll0603/sll0409/slr1099/sll1127/sll1797/slr1300/slr0926/slr1518/slr0204/sll0936/slr0817"
"syn02020","syn02020","Two-component system - Synechocystis sp. PCC 6803",70,0.483639533259539,1.61464275639511,0.00521321962676126,0.0232371278654666,0.0131427588869882,455,"tags=20%, list=9%, signal=18%","slr1042/sll0337/sll0043/sll0040/slr1756/slr0795/ssl0707/slr1380/sll0034/sll0680/sll0797/sll1291/sll1294/slr1837"
"syn00785","syn00785","Lipoic acid metabolism - Synechocystis sp. PCC 6803",11,-0.755020529169041,-1.60506177038874,0.00761420280459953,0.0283417548837871,0.0160299006412622,976,"tags=82%, list=19%, signal=66%","slr0879/sll0868/sll0171/sll1721/slr1096/slr1598/slr0293/sll1841/slr1934"
"syn00710","syn00710","Carbon fixation by Calvin cycle - Synechocystis sp. PCC 6803",18,-0.677973168572984,-1.6012697936722,0.00943639144361027,0.0332756961432573,0.0188205037102476,1028,"tags=56%, list=20%, signal=45%","slr0009/slr0394/sll1342/slr0012/slr0194/sll0807/sll0920/sll1070/sll0018/sll1525"
"syn00730","syn00730","Thiamine metabolism - Synechocystis sp. PCC 6803",10,-0.763231021392843,-1.58359775684119,0.0101228243331644,0.0339114615161006,0.0191800882102062,678,"tags=60%, list=13%, signal=52%","sll0635/slr0633/slr1787/sll1945/slr0118/sll1815"
"syn00196","syn00196","Photosynthesis - antenna proteins - Synechocystis sp. PCC 6803",15,-0.692679917909723,-1.58022839312669,0.0111477052243864,0.0355664880968519,0.0201161598034041,748,"tags=60%, list=15%, signal=51%","sll1579/slr1878/slr2051/slr1459/sll1578/slr1986/sll1577/slr2067/slr0335"
"syn00860","syn00860","Porphyrin metabolism - Synechocystis sp. PCC 6803",54,-0.522290203441447,-1.50631453803916,0.0127954445138505,0.0389679446558174,0.0220400001195511,639,"tags=31%, list=12%, signal=28%","slr1923/slr1887/slr1790/sll0179/slr0969/sll0037/slr1055/slr0056/slr1030/slr1777/slr1808/slr0536/slr0116/sll1185/slr0525/sll1184/sll1994"
"syn00290","syn00290","Valine, leucine and isoleucine biosynthesis - Synechocystis sp. PCC 6803",12,-0.72537177668107,-1.57586268688429,0.0142655267784264,0.0401082447017,0.0226849459428311,875,"tags=67%, list=17%, signal=55%","slr0032/slr0452/sll1470/slr0186/sll0065/slr2088/sll1363/slr1517"
"syn03070","syn03070","Bacterial secretion system - Synechocystis sp. PCC 6803",14,-0.691545239986117,-1.55558902227184,0.0143671324304597,0.0401082447017,0.0226849459428311,893,"tags=71%, list=17%, signal=59%","sll0616/slr1471/slr1531/sll0194/ssl3335/sll1814/ssr3307/slr1046/slr2102/ssl2823"
"syn00640","syn00640","Propanoate metabolism - Synechocystis sp. PCC 6803",12,-0.722276832805947,-1.56913895330711,0.0152245319274184,0.0408017455654812,0.0230771852373499,965,"tags=58%, list=19%, signal=47%","sll0053/slr0665/slr1096/sll0728/slr0435/sll0401/sll0336"
"syn00260","syn00260","Glycine, serine and threonine metabolism - Synechocystis sp. PCC 6803",17,-0.654645871674008,-1.52481108453245,0.0168219192136897,0.0433487918198927,0.0245177769916125,547,"tags=53%, list=11%, signal=47%","slr0879/sll0171/slr1096/slr0657/slr0293/sll0455/slr1945/sll1931/sll1172"
"syn00620","syn00620","Pyruvate metabolism - Synechocystis sp. PCC 6803",29,-0.590631872027882,-1.51873545550453,0.0186423062917928,0.0462605378351895,0.0261646404095337,547,"tags=34%, list=11%, signal=31%","sll0053/sll1721/slr1096/sll0728/slr0186/slr0435/sll0336/sll1841/sll0920/slr1934"
