"","locus","BG11_Control","BG11_Lys","difference","Gene name","Product"
"1","sll0869",0.10083550202821,0.224630050311806,-0.123794548283595,"aat","Leu/Phe-tRNA-protein transferase"
"2","slr0518",0.5195627908082,4.66333228475705,-4.14376949394885,"abfB","similar to alpha-L-arabinofuranosidase B"
"3","sll0728",-0.943256043189601,-1.09149870664474,0.14824266345514,"accA","acetyl-CoA carboxylase alpha subunit"
"4","slr0435",-0.181463654147655,-1.17044870820396,0.988985054056303,"accB","biotin carboxyl carrier protein of acetyl-CoA c arboxylase"
"5","sll0053",-0.546059813009668,-0.516364084195913,-0.0296957288137547,"accC","biotin carboxylase"
"6","sll0336",-2.07839928706227,-1.54389604797769,-0.534503239084582,"accD;  ycf11;  zfpA","acetyl-CoA carboxylase beta subunit"
"7","sll1299",0.193993894652114,0.278764929871259,-0.084771035219145,"ackA","acetate kinase"
"8","ssl2084",-2.01614285420797,-1.872219850358,-0.143923003849968,"acpP","acyl carrier protein"
"9","sll0542",-0.0703255233312271,-0.270526680574129,0.200201157242902,"acs","acetyl-coenzyme A synthetase"
"10","sll1900",-0.0514528021121966,-0.284340570118818,0.232887768006621,"act","acetyltransferase"
"11","sll1059",-0.0465370367975105,0.202912679771227,-0.249449716568738,"adk1","adenylate kinase"
"12","sll1815",-1.83305513751293,-1.82623849216709,-0.00681664534583892,"adk2","adenylate kinase"
"13","slr1176",0.838265441199977,0.524567791815319,0.313697649384658,"glgC","glucose-1-phosphate adenylyltransferase"
"14","sll1234",-0.380868215910884,-0.925873701051311,0.545005485140427,"ahcY","adenosylhomocysteinase"
"15","sll0362",-0.986872328089061,-1.58983378409467,0.602961456005609,"alaS","alanyl-tRNA synthetase"
"16","slr0827",0.650179235095833,0.286514074070345,0.363665161025488,"alr","alanine racemase"
"17","sll0100",0.0263930431999665,0.176988628617863,-0.150595585417897,"ama","N-acyl-L-amino acid amidohydrolase"
"18","slr1653",-0.0343310527551149,0.321915312193809,-0.356246364948924,"ama","N-acyl-L-amino acid amidohydrolase"
"19","slr1910",0.0181246056402,-0.233063497708623,0.251188103348823,"amiA","probable N-acetylmuramoyl-L-alanine amidase"
"20","slr0891",0.183706551466424,1.05982078720048,-0.876114235734059,"amiA","N-acetylmuramoyl-L-alanine amidase"
"21","slr1744",0.60333823580632,-0.984892541811927,1.58823077761825,"amiA","N-acetylmuramoyl-L-alanine amidase;  periplasmic protein"
"22","slr0447",-0.870179007306403,2.28567838832347,-3.15585739562987,"urtA","periplasmic protein;  ABC-type urea transport sy stem substrate-binding protein"
"23","slr0323",0.144095735838665,-0.118331619914114,0.262427355752779,"ams1","putative alpha-mannosidase"
"24","sll0108",0.135620275712609,-0.384729260392501,0.52034953610511,"amt1","ammonium/methylammonium permease"
"25","sll1017",0.0549612849884536,0.180832900392216,-0.125871615403763,"amt2","ammonium/methylammonium permease"
"26","sll0537",-0.0133876094503443,-0.0545586490917824,0.0411710396414382,"amt3","ammonium/methylammonium permease"
"27","slr1109",1.18220870918202,0.412047026218462,0.77016168296356,"ank","similar to ankyrin"
"28","slr2067",-1.7113178093117,-1.82033500116783,0.109017191856137,"apcA","allophycocyanin alpha subunit"
"29","slr1986",-1.14563001036864,-1.50567764432353,0.360047633954888,"apcB","allophycocyanin beta subunit"
"30","ssr3383",-0.414724845278375,-0.254472605439846,-0.160252239838529,"apcC","phycobilisome small core linker polypeptide"
"31","sll0928",-0.441290647033867,0.264275560426883,-0.70556620746075,"apcD","allophycocyanin-B"
"32","slr0335",-1.11431869827018,-1.93691709116444,0.82259839289426,"apcE","phycobilisome core-membrane linker polypeptide"
"33","slr1459",-0.268574089048304,-1.13775673067119,0.869182641622886,"apcF","phycobilisome core component"
"34","sll1343",-0.955936814995298,-0.693602948039654,-0.262333866955644,"ape2","aminopeptidase"
"35","slr2057",-0.295345680269285,0.337132660405492,-0.632478340674776,"apqZ","water channel protein"
"36","sll1430",0.0343827288031364,-0.131668879681537,0.166051608484674,"apt","adenine phosphoribosyltransferase"
"37","sll0573",-0.277462750189736,0.173947091869921,-0.451409842059657,"arcC","carbamate kinase"
"38","slr1898",0.228921256597687,-1.6957234249217,1.92464468151938,"argB","N-acetylglutamate kinase"
"39","sll0080",-0.0258167991431038,-0.417932800841607,0.392116001698504,"argC","N-acetyl-gamma-glutamyl-phosphate reductase"
"40","slr1022",-0.763214895963533,-1.22806581151259,0.464850915549058,"argD","N-acetylornithine aminotransferase"
"41","sll0902",0.0220304311189982,-0.882200233052332,0.90423066417133,"argF","ornithine carbamoyltransferase"
"42","slr0585",-0.0702296300641209,-0.446153241112127,0.375923611048006,"argG","argininosuccinate synthetase"
"43","slr1133",0.206366771237437,-0.158009339829814,0.364376111067251,"argH","L-argininosuccinate lyase"
"44","sll1883",-0.50183081483407,-1.00165868172211,0.499827866888043,"argJ","arginine biosynthesis bifunctional protein ArgJ"
"45","sll0502",-0.285178234060794,0.123271278861968,-0.408449512922762,"argS","arginyl-tRNA-synthetase"
"46","slr0444",-0.595947717099843,-0.872005416299521,0.276057699199678,"aroA","3-phosphoshikimate 1-carboxyvinyltransferase"
"47","slr2130",-0.488126480075708,-1.11226844615137,0.624141966075665,"aroB","3-dehydroquinate synthase"
"48","sll1747",-0.25516145346107,-0.874780477342133,0.619619023881064,"aroC","chorismate synthase"
"49","slr1559",0.476016252081682,-0.225890503530167,0.701906755611849,"aroE","shikimate 5-dehydrogenase"
"50","sll0109",-0.142597278283163,0.0721629645955564,-0.21476024287872,"aroH","chorismate mutase"
"51","sll1669",-0.702145487608756,-1.29599665581775,0.593851168208989,"aroK","shikimate kinase"
"52","sll1112",-0.444041159573293,-0.742912708657546,0.298871549084253,"aroQ","3-dehydroquinate dehydratase"
"53","sll1957",0.069908008202621,0.478402625091908,-0.408494616889287,"arsA","transcriptional regulator"
"54","slr0946",0.162471275111826,0.0583048204645927,0.104166454647234,"arsC","arsenate reductase"
"55","slr0549",0.250502667226315,0.718907924078967,-0.468405256852652,"asd","aspartate beta-semialdehyde dehydrogenese"
"56","sll1766",-0.00852785244585878,-0.147639933422247,0.139112080976389,"aslB","hypothetical protein"
"57","sll0495",0.0850320671806565,-0.415426374692181,0.500458441872837,"asnS","asparaginyl-tRNA synthetase"
"58","slr1705",0.25029015419531,3.72169252181531,-3.47140236762,"aspA","aspartoacylase"
"59","sll0006",0.553497707820952,-0.27999816877063,0.833495876591583,"aspC","putative aminotransferase"
"60","sll0402",-0.61942001297359,-0.630358695075368,0.0109386821017777,"aspC","aspartate aminotransferase"
