sgRNA_target	locus	Gene name	Product	condition	wmean_fitness	sd_fitness	p_fitness_adj	comb_score
aat	sll0869	aat	Leu/Phe-tRNA-protein transferase	BG11_Control	0.10083550202821047	0.12841340609273819	0.7093112379744159	0.015040942057294669
aat	sll0869	aat	Leu/Phe-tRNA-protein transferase	BG11_Lys	0.22463005031180586	0.14427972991774432	0.35081699346405226	0.10218856270265829
abfB	slr0518	abfB	similar to alpha-L-arabinofuranosidase B	BG11_Control	0.5195627908081996	0.3545955137153323	0.9766193595342068	0.005338336709888907
abfB	slr0518	abfB	similar to alpha-L-arabinofuranosidase B	BG11_Lys	4.663332284757046	2.4193500269234365	0.8790533901080905	0.2610754774598719
accA	sll0728	accA	acetyl-CoA carboxylase alpha subunit	BG11_Control	-0.9432560431896008	0.31741781453921497	0.38951378809869375	0.3862418099281693
accA	sll0728	accA	acetyl-CoA carboxylase alpha subunit	BG11_Lys	-1.0914987066447406	0.4520195023981144	0.35081699346405226	0.4965439123973449
accB	slr0435	accB	biotin carboxyl carrier protein of acetyl-CoA c arboxylase	BG11_Control	-0.1814636541476549	0.45384787201486715	0.8909600956111812	0.009098904589145295
accB	slr0435	accB	biotin carboxyl carrier protein of acetyl-CoA c arboxylase	BG11_Lys	-1.1704487082039583	0.7202981970559263	0.35081699346405226	0.5324597979768134
accC	sll0053	accC	biotin carboxylase	BG11_Control	-0.5460598130096679	0.4373297043961712	0.4670640445527323	0.1805402416499891
accC	sll0053	accC	biotin carboxylase	BG11_Lys	-0.5163640841959132	0.24856732406948462	0.35081699346405226	0.2349040278538439
accD	sll0336	accD;  ycf11;  zfpA	acetyl-CoA carboxylase beta subunit	BG11_Control	-2.0783992870622727	1.1579409128070812	0.38951378809869375	0.8510570466888467
accD	sll0336	accD;  ycf11;  zfpA	acetyl-CoA carboxylase beta subunit	BG11_Lys	-1.5438960479776906	0.24778718889486923	0.35081699346405226	0.702348229393878
ackA	sll1299	ackA	acetate kinase	BG11_Control	0.19399389465211372	0.25426457863254764	0.8909600956111812	0.009727192735135923
ackA	sll1299	ackA	acetate kinase	BG11_Lys	0.2787649298712587	0.23818103480165106	0.6753951077108922	0.04751327713852663
acp	ssl2084	acpP	acyl carrier protein	BG11_Control	-2.016142854207965	1.4765253269217467	0.5808144567883422	0.4757342742595792
acp	ssl2084	acpP	acyl carrier protein	BG11_Lys	-1.8722198503579968	0.5957023629715287	0.35081699346405226	0.8517090892598822
acs	sll0542	acs	acetyl-coenzyme A synthetase	BG11_Control	-0.07032552333122709	0.11139318195141594	0.9766193595342068	7.22571611137234e-4
acs	sll0542	acs	acetyl-coenzyme A synthetase	BG11_Lys	-0.27052668057412893	0.23693417146909077	0.5450345247766044	0.07130433679210517
act	sll1900	act	acetyltransferase	BG11_Control	-0.051452802112196584	0.12899997844900477	1	-0
act	sll1900	act	acetyltransferase	BG11_Lys	-0.28434057011881797	0.2549204749973211	0.8790533901080905	0.015918734838525475
adk	sll1059	adk1	adenylate kinase	BG11_Control	-0.04653703679751055	0.13394174286905622	0.9766193595342068	4.78152739766369e-4
adk	sll1059	adk1	adenylate kinase	BG11_Lys	0.20291267977122737	0.13904784564560543	0.5450345247766044	0.05348290980797198
adk2	sll1815	adk2	adenylate kinase	BG11_Control	-1.8330551375129258	1.036427303855817	0.5808144567883422	0.4325324238321821
adk2	sll1815	adk2	adenylate kinase	BG11_Lys	-1.826238492167087	1.1678164692357171	0.5450345247766044	0.4813526127324293
