locus_tag	GO_ID
ssr3451	GO:0005506
ssr3451	GO:0009055
ssr3451	GO:0009539
ssr3451	GO:0009767
ssr3451	GO:0020037
ssr3451	GO:0030096
ssr3451	GO:0031676
smr0006	GO:0005506
smr0006	GO:0009055
smr0006	GO:0009539
smr0006	GO:0009767
smr0006	GO:0020037
smr0006	GO:0030096
smr0006	GO:0031676
smr0006	GO:0042802
sll0849	GO:0005506
sll0849	GO:0009523
sll0849	GO:0009772
sll0849	GO:0010242
sll0849	GO:0016168
sll0849	GO:0030096
sll0849	GO:0031676
sll0849	GO:0045156
slr0927	GO:0005506
slr0927	GO:0009523
slr0927	GO:0009772
slr0927	GO:0010242
slr0927	GO:0016168
slr0927	GO:0030096
slr0927	GO:0031676
slr0927	GO:0045156
sll0851	GO:0009772
sll0851	GO:0016168
sll0851	GO:0030096
sll0851	GO:0031676
sll0851	GO:0045156
sll0851	GO:0046872
ssl2598	GO:0015979
ssl2598	GO:0030096
ssl2598	GO:0031676
ssl2598	GO:0042301
ssl2598	GO:0050821
sll1867	GO:0005506
sll1867	GO:0009635
sll1867	GO:0009772
sll1867	GO:0010242
sll1867	GO:0016168
sll1867	GO:0016682
sll1867	GO:0030096
sll1867	GO:0031676
sll1867	GO:0045156
slr1311	GO:0005506
slr1311	GO:0009635
slr1311	GO:0009772
slr1311	GO:0010242
slr1311	GO:0016168
slr1311	GO:0016682
slr1311	GO:0030096
slr1311	GO:0031676
slr1311	GO:0045156
ssl0020	GO:0009055
ssl0020	GO:0046872
ssl0020	GO:0051537
sll1363	GO:0000287
sll1363	GO:0004455
sll1363	GO:0005829
sll1363	GO:0009097
sll1363	GO:0009099
sll1363	GO:0050661
slr1835	GO:0000287
slr1835	GO:0009055
slr1835	GO:0015979
slr1835	GO:0016168
slr1835	GO:0030094
slr1835	GO:0031676
slr1835	GO:0051539
ssl0563	GO:0009055
ssl0563	GO:0009522
ssl0563	GO:0009773
ssl0563	GO:0031676
ssl0563	GO:0046872
ssl0563	GO:0051539
slr0623	GO:0005737
slr0623	GO:0015035
slr1129	GO:0000049
slr1129	GO:0004519
slr1129	GO:0004540
slr1129	GO:0005737
slr1129	GO:0005886
slr1129	GO:0006364
slr1129	GO:0008033
slr1129	GO:0019843
slr1129	GO:0046872
slr1129	GO:0051607
sll1031	GO:0015977
sll1031	GO:0015979
sll1031	GO:0031470
sll1031	GO:0043886
ssr1789	GO:0010117
ssr1789	GO:0016020
ssr1789	GO:0016168
ssr1789	GO:0031409
ssr1789	GO:1990066
sll1638	GO:0005509
sll1638	GO:0009654
sll1638	GO:0015979
sll1638	GO:0019898
sll1638	GO:0030096
slr2034	GO:0009523
slr2034	GO:0010207
slr2034	GO:0031676
slr2034	GO:0031977
ssl2542	GO:0010207
ssl2542	GO:0016168
ssl2542	GO:0042651
ssl2542	GO:1990066
slr1147	GO:0000155
slr1147	GO:0005737
slr1147	GO:0046872
slr1147	GO:0051538
ssr2595	GO:0010207
ssr2595	GO:0016168
ssr2595	GO:0042651
ssr2595	GO:1990066
sll1626	GO:0004252
sll1626	GO:0005737
sll1626	GO:0006260
sll1626	GO:0006508
