# Program:featureCounts v2.0.1; Command:"featureCounts" "-F" "SAF" "-T" "5" "-a" "Synechocystis_v2_trimmed.saf" "-s" "0" "-o" "BG11_control_t8_r1_T1.featureCounts.txt" "BG11_control_t8_r1_T1.bam" 
Geneid	Chr	Start	End	Strand	Length	BG11_control_t8_r1_T1.bam
sll1677|130	sll1677|130	1	20	.	20	279
sll1677|88	sll1677|88	1	17	.	17	630
sll1677|7	sll1677|7	1	17	.	17	351
sll1677|31	sll1677|31	1	22	.	22	554
sll1677|163	sll1677|163	1	22	.	22	249
sll0218|192	sll0218|192	1	17	.	17	922
sll0218|64	sll0218|64	1	17	.	17	791
sll0218|8	sll0218|8	1	22	.	22	949
sll0218|112	sll0218|112	1	20	.	20	1318
sll0218|39	sll0218|39	1	22	.	22	1557
ssr1853|89	ssr1853|89	1	19	.	19	343
ssr1853|139	ssr1853|139	1	21	.	21	475
ssr1853|125	ssr1853|125	1	21	.	21	573
ssr1853|76	ssr1853|76	1	18	.	18	1234
ssr1853|103	ssr1853|103	1	20	.	20	205
slr1413|21	slr1413|21	1	22	.	22	342
slr1413|62	slr1413|62	1	18	.	18	350
slr1413|81	slr1413|81	1	17	.	17	161
slr1413|93	slr1413|93	1	22	.	22	486
slr1413|38	slr1413|38	1	17	.	17	442
speA|208	speA|208	1	20	.	20	209
speA|151	speA|151	1	20	.	20	397
speA|61	speA|61	1	17	.	17	229
speA|12	speA|12	1	20	.	20	534
speA|127	speA|127	1	22	.	22	354
gmk|118	gmk|118	1	17	.	17	141
gmk|6	gmk|6	1	20	.	20	8
gmk|141	gmk|141	1	18	.	18	301
gmk|184	gmk|184	1	20	.	20	112
gmk|50	gmk|50	1	22	.	22	28
slr1783|80	slr1783|80	1	20	.	20	115
slr1783|47	slr1783|47	1	17	.	17	306
slr1783|92	slr1783|92	1	18	.	18	80
slr1783|105	slr1783|105	1	21	.	21	54
slr1783|117	slr1783|117	1	17	.	17	119
sll0558|73	sll0558|73	1	22	.	22	218
sll0558|150	sll0558|150	1	22	.	22	721
sll0558|138	sll0558|138	1	21	.	21	40
sll0558|127	sll0558|127	1	20	.	20	53
sll0558|16	sll0558|16	1	21	.	21	197
phdD|80	phdD|80	1	18	.	18	562
phdD|109	phdD|109	1	22	.	22	44
phdD|65	phdD|65	1	17	.	17	191
phdD|139	phdD|139	1	20	.	20	155
phdD|161	phdD|161	1	19	.	19	416
slr1787|103	slr1787|103	1	17	.	17	41
slr1787|84	slr1787|84	1	19	.	19	109
slr1787|69	slr1787|69	1	19	.	19	62
slr1787|27	slr1787|27	1	19	.	19	76
slr1787|48	slr1787|48	1	21	.	21	141
fecB3|146	fecB3|146	1	19	.	19	296
fecB3|32	fecB3|32	1	22	.	22	105
fecB3|106	fecB3|106	1	20	.	20	855
fecB3|121	fecB3|121	1	18	.	18	196
fecB3|77	fecB3|77	1	17	.	17	174
fecB2|67	fecB2|67	1	22	.	22	262
fecB2|118	fecB2|118	1	21	.	21	95
fecB2|145	fecB2|145	1	20	.	20	325
fecB2|165	fecB2|165	1	22	.	22	187
fecB2|190	fecB2|190	1	21	.	21	192
slr1788|18	slr1788|18	1	21	.	21	219
slr1788|161	slr1788|161	1	20	.	20	367
slr1788|30	slr1788|30	1	20	.	20	129
slr1788|122	slr1788|122	1	20	.	20	359
slr1788|172	slr1788|172	1	18	.	18	797
slr1789|140	slr1789|140	1	20	.	20	223
slr1789|27	slr1789|27	1	22	.	22	70
slr1789|39	slr1789|39	1	20	.	20	280
slr1789|250	slr1789|250	1	19	.	19	269
slr1789|97	slr1789|97	1	20	.	20	142
crtE|100	crtE|100	1	21	.	21	773
crtE|184	crtE|184	1	22	.	22	57
crtE|124	crtE|124	1	20	.	20	349
crtE|76	crtE|76	1	20	.	20	159
crtE|7	crtE|7	1	18	.	18	151
mom72|42	mom72|42	1	21	.	21	374
mom72|82	mom72|82	1	18	.	18	411
mom72|61	mom72|61	1	20	.	20	718
mom72|99	mom72|99	1	20	.	20	99
mom72|110	mom72|110	1	18	.	18	496
slr0238|51	slr0238|51	1	18	.	18	824
slr0238|88	slr0238|88	1	20	.	20	362
slr0238|40	slr0238|40	1	21	.	21	155
slr0238|143	slr0238|143	1	20	.	20	326
slr0238|107	slr0238|107	1	21	.	21	714
ctpB|6	ctpB|6	1	20	.	20	409
ctpB|93	ctpB|93	1	20	.	20	193
ctpB|27	ctpB|27	1	19	.	19	182
ctpB|82	ctpB|82	1	22	.	22	111
ctpB|70	ctpB|70	1	18	.	18	536
mutT|117	mutT|117	1	19	.	19	1220
