Gene	sgRNA	time|beta	time|z	time|p-value	time|fdr	time|wald-p-value	time|wald-fdr	common|beta	common|z	common|p-value	common|fdr	common|wald-p-value	common|wald-fdr	BG11_Control|beta	BG11_Control|z	BG11_Control|p-value	BG11_Control|fdr	BG11_Control|wald-p-value	BG11_Control|wald-fdr	BG11_Lys|beta	BG11_Lys|z	BG11_Lys|p-value	BG11_Lys|fdr	BG11_Lys|wald-p-value	BG11_Lys|wald-fdr
sll1677	5	0.018606	2.986	0.1864	0.86044	0.0028268	0.023355	0.0023257	2.986	0.1864	0.86044	0.0028268	0.023355	0.07094	1.9465	0.30442	0.93739	0.051598	0.20281	-0.068615	-1.8826	0.31848	0.93421	0.05976	0.21784
sll0218	5	0.13434	2.5715	0.0015631	0.044693	0.010126	0.061186	0.016792	2.5715	0.0015631	0.044693	0.010126	0.061186	0.28814	0.94331	0.0011723	0.049587	0.34552	0.59064	-0.27135	-0.88833	0.0017585	0.06383	0.37436	0.61469
ssr1853	5	-3.4788e-05	-0.011043	0.99453	0.99823	0.99119	0.99547	-4.3485e-06	-0.011043	0.99453	0.99823	0.99119	0.99547	-0.020135	-1.092	0.7882	0.99194	0.27484	0.52492	0.02013	1.0917	0.78585	0.99154	0.27497	0.52218
slr1413	5	0.0070975	1.573	0.57562	0.99779	0.11571	0.28733	0.00088719	1.573	0.57562	0.99779	0.11571	0.28733	-0.029097	-1.1028	0.69168	0.99194	0.2701	0.52007	0.029984	1.1364	0.67995	0.99154	0.25578	0.50176
speA	5	0.0079679	2.0073	0.53224	0.99779	0.044713	0.16523	0.00099598	2.0073	0.53224	0.99779	0.044713	0.16523	-0.025294	-1.0894	0.72782	0.99194	0.276	0.52621	0.02629	1.1322	0.7163	0.99154	0.25755	0.5035
gmk	5	-0.044513	-2.2354	0.036147	0.38703	0.025392	0.11374	-0.0055642	-2.2354	0.036147	0.38703	0.025392	0.11374	0.13564	1.1565	0.082845	0.64627	0.24747	0.49687	-0.14121	-1.2036	0.074248	0.6129	0.22875	0.47226
slr1783	5	-0.067209	-4.8104	0.0048847	0.099206	1.506e-06	3.5195e-05	-0.0084011	-4.8104	0.0048847	0.099206	1.506e-06	3.5195e-05	0.041332	0.50094	0.51387	0.98134	0.61642	0.79135	-0.049733	-0.60259	0.44861	0.97294	0.54678	0.74877
sll0558	5	-0.046987	-4.5274	0.029113	0.33787	5.9726e-06	0.00011667	-0.0058734	-4.5274	0.029113	0.33787	5.9726e-06	0.00011667	0.14218	2.3027	0.070731	0.60233	0.021297	0.11771	-0.14805	-2.3963	0.064283	0.58025	0.016561	0.10055
phdD	5	-0.02007	-2.1237	0.2798	0.94273	0.033693	0.13659	-0.0025087	-2.1237	0.2798	0.94273	0.033693	0.13659	0.019119	0.3438	0.74052	0.99194	0.731	0.86184	-0.021628	-0.38883	0.71727	0.99154	0.69741	0.84521
slr1787	5	-0.067159	-5.6885	0.0048847	0.099206	1.2818e-08	5.1654e-07	-0.0083949	-5.6885	0.0048847	0.099206	1.2818e-08	5.1654e-07	-0.009069	-0.13038	0.92829	0.99664	0.89627	0.95583	0.00067414	0.0096895	0.97401	0.99843	0.99227	0.99714
fecB3	5	0.013447	2.0199	0.30188	0.9537	0.043398	0.16245	0.0016809	2.0199	0.30188	0.9537	0.043398	0.16245	0.020588	0.52659	0.71981	0.99194	0.59848	0.78109	-0.018907	-0.4835	0.74873	0.99154	0.62874	0.79855
fecB2	5	-0.022566	-2.8153	0.23447	0.90498	0.0048726	0.035273	-0.0028208	-2.8153	0.23447	0.90498	0.0048726	0.035273	-0.055293	-1.1768	0.45115	0.97343	0.23928	0.48673	0.052473	1.1167	0.47186	0.97509	0.26414	0.51152
slr1788	5	0.01589	2.5608	0.23837	0.90667	0.010445	0.062578	0.0019863	2.5608	0.23837	0.90667	0.010445	0.062578	0.021697	0.59649	0.70692	0.99194	0.55085	0.7538	-0.01971	-0.54181	0.73935	0.99154	0.58795	0.77118
slr1789	5	-0.017777	-2.2094	0.32474	0.96066	0.02715	0.1187	-0.0022221	-2.2094	0.32474	0.96066	0.02715	0.1187	-0.056141	-1.1923	0.44373	0.97343	0.23314	0.48095	0.053919	1.145	0.45858	0.97345	0.2522	0.49768
crtE	5	-0.037826	-3.217	0.063306	0.52769	0.0012954	0.012393	-0.0047283	-3.217	0.063306	0.52769	0.0012954	0.012393	0.078172	1.1297	0.26573	0.91167	0.25859	0.5098	-0.0829	-1.1978	0.24697	0.89533	0.231	0.47461
mom72	5	-0.022314	-1.9872	0.24072	0.90923	0.046902	0.17012	-0.0027893	-1.9872	0.24072	0.90923	0.046902	0.17012	-0.051777	-0.78814	0.47792	0.9778	0.43062	0.66523	0.048988	0.74565	0.49648	0.97806	0.45588	0.68302
slr0238	5	0.0079033	1.8112	0.53576	0.99779	0.070114	0.21573	0.00098791	1.8112	0.53576	0.99779	0.070114	0.21573	0.031975	1.251	0.6018	0.99097	0.21095	0.45632	-0.030987	-1.2122	0.61645	0.99154	0.22545	0.46961
ctpB	5	0.060966	1.967	0.024228	0.30941	0.049186	0.17526	0.0076208	1.967	0.024228	0.30941	0.049186	0.17526	-0.2938	-1.6209	0.074052	0.61228	0.10504	0.31292	0.30143	1.663	0.073271	0.61238	0.096316	0.29574
mutT	5	-0.0044761	-1.3712	0.76045	0.99804	0.17033	0.36112	-0.00055951	-1.3712	0.76045	0.99804	0.17033	0.36112	-0.054121	-2.8273	0.45916	0.9743	0.0046945	0.044329	0.053561	2.7978	0.46209	0.97509	0.0051453	0.046691
rhnB	5	0.0040942	0.68843	0.7499	0.99804	0.49118	0.67197	0.00051177	0.68843	0.7499	0.99804	0.49118	0.67197	-0.088026	-2.5306	0.26983	0.91167	0.011387	0.079504	0.088538	2.5452	0.2712	0.91376	0.010921	0.076146
adk	5	0.003202	0.88474	0.80696	0.99804	0.3763	0.57925	0.00040025	0.88474	0.80696	0.99804	0.3763	0.57925	-0.033373	-1.5761	0.64693	0.99104	0.11499	0.32982	0.033773	1.595	0.64224	0.99154	0.11072	0.32011
sll1033	5	0.0093337	2.4901	0.46522	0.99779	0.012769	0.071247	0.0011667	2.4901	0.46522	0.99779	0.012769	0.071247	0.0064835	0.29509	0.88667	0.99664	0.76792	0.88439	-0.0053167	-0.24196	0.9027	0.99698	0.80881	0.90479
sll1681	5	0.0074834	1.8952	0.5551	0.99779	0.058068	0.19336	0.00093542	1.8952	0.5551	0.99779	0.058068	0.19336	-0.06418	-2.7742	0.39273	0.96649	0.005534	0.049427	0.065115	2.8144	0.38687	0.9612	0.0048868	0.044983
ndhB	5	-0.083309	-5.7433	0.00078156	0.027778	9.285e-09	3.8016e-07	-0.010414	-5.7433	0.00078156	0.027778	9.285e-09	3.8016e-07	0.0089427	0.10442	0.85385	0.99545	0.91684	0.96402	-0.019356	-0.22596	0.74287	0.99154	0.82123	0.91133
sll1682	5	0.015309	2.3023	0.25088	0.92066	0.021316	0.10178	0.0019136	2.3023	0.25088	0.92066	0.021316	0.10178	0.043214	1.1117	0.49648	0.98134	0.26629	0.51733	-0.0413	-1.0624	0.51993	0.98127	0.28805	0.53396
sll1686	5	-0.010051	-2.004	0.54709	0.99779	0.045073	0.16596	-0.0012563	-2.004	0.54709	0.99779	0.045073	0.16596	0.01642	0.55894	0.77003	0.99194	0.5762	0.76873	-0.017677	-0.60166	0.76299	0.99154	0.5474	0.74909
sll1037	5	-0.013014	-1.764	0.44627	0.99779	0.077738	0.22845	-0.0016268	-1.764	0.44627	0.99779	0.077738	0.22845	0.029442	0.68221	0.62466	0.99097	0.49511	0.71349	-0.031069	-0.71986	0.61587	0.99154	0.47161	0.6907
rne	5	-0.033467	-3.5325	0.096913	0.64499	0.00041159	0.0047125	-0.0041834	-3.5325	0.096913	0.64499	0.00041159	0.0047125	-0.1533	-2.7678	0.14576	0.76041	0.0056436	0.050117	0.14912	2.6922	0.15221	0.77129	0.0070978	0.056789
slr0730	5	0.0033322	0.68024	0.79953	0.99804	0.49635	0.67634	0.00041652	0.68024	0.79953	0.99804	0.49635	0.67634	-0.050075	-1.741	0.49023	0.97932	0.081684	0.26937	0.050492	1.7552	0.48535	0.97612	0.07922	0.26243
atpI	5	-0.06535	-4.6652	0.0054709	0.10728	3.0829e-06	6.6017e-05	-0.0081688	-4.6652	0.0054709	0.10728	3.0829e-06	6.6017e-05	0.090431	1.0969	0.21063	0.85488	0.27266	0.52266	-0.098599	-1.1957	0.17937	0.816	0.23181	0.4757
atpH	5	-0.07024	-6.0136	0.0033216	0.07489	1.8146e-09	8.9298e-08	-0.00878	-6.0136	0.0033216	0.07489	1.8146e-09	8.9298e-08	0.11228	1.6294	0.13208	0.73485	0.10324	0.31121	-0.12106	-1.7562	0.11411	0.70455	0.07905	0.26203
atpC	5	-0.079142	-5.6737	0.0017585	0.048387	1.3972e-08	5.5433e-07	-0.0098927	-5.6737	0.0017585	0.048387	1.3972e-08	5.5433e-07	0.33592	4.0496	0.00039078	0.021505	5.1297e-05	0.0016511	-0.34581	-4.1656	0.00019539	0.014085	3.1047e-05	0.0011099
hypD	5	0.0058011	1.7475	0.64732	0.99804	0.080552	0.23318	0.00072514	1.7475	0.64732	0.99804	0.080552	0.23318	0.0077673	0.39982	0.86928	0.99664	0.68929	0.83994	-0.0070421	-0.36248	0.88472	0.99692	0.717	0.8549
atpA	5	-0.062105	-4.7112	0.0080109	0.14041	2.4621e-06	5.3851e-05	-0.0077631	-4.7112	0.0080109	0.14041	2.4621e-06	5.3851e-05	0.15989	2.0202	0.05002	0.52352	0.043366	0.18281	-0.16765	-2.1164	0.044353	0.4989	0.034313	0.15638
atpG	5	-0.067111	-5.1029	0.0048847	0.099206	3.3444e-07	9.6704e-06	-0.0083889	-5.1029	0.0048847	0.099206	3.3444e-07	9.6704e-06	0.030102	0.38869	0.61801	0.99097	0.6975	0.84561	-0.038491	-0.49691	0.54435	0.98127	0.61926	0.79273
atpF	5	-0.080376	-6.5962	0.0011723	0.036364	4.2191e-11	3.125e-09	-0.010047	-6.5962	0.0011723	0.036364	4.2192e-11	3.125e-09	0.070845	0.97402	0.30461	0.93739	0.33004	0.57794	-0.080892	-1.1116	0.25772	0.90034	0.26632	0.51391
