Gene	sgRNA	eff
sll1677	sll1677|130	1
sll1677	sll1677|88	1
sll1677	sll1677|7	1
sll1677	sll1677|31	1
sll1677	sll1677|163	1
sll0218	sll0218|192	1
sll0218	sll0218|64	1
sll0218	sll0218|8	1
sll0218	sll0218|112	1
sll0218	sll0218|39	1
ssr1853	ssr1853|89	1
ssr1853	ssr1853|139	1
ssr1853	ssr1853|125	1
ssr1853	ssr1853|76	1
ssr1853	ssr1853|103	1
slr1413	slr1413|21	1
slr1413	slr1413|62	1
slr1413	slr1413|81	1
slr1413	slr1413|93	1
slr1413	slr1413|38	1
speA	speA|208	1
speA	speA|151	1
speA	speA|61	1
speA	speA|12	1
speA	speA|127	1
gmk	gmk|118	1
gmk	gmk|6	1
gmk	gmk|141	1
gmk	gmk|184	1
gmk	gmk|50	1
slr1783	slr1783|80	1
slr1783	slr1783|47	1
slr1783	slr1783|92	1
slr1783	slr1783|105	1
slr1783	slr1783|117	1
sll0558	sll0558|73	1
sll0558	sll0558|150	1
sll0558	sll0558|138	1
sll0558	sll0558|127	1
sll0558	sll0558|16	1
phdD	phdD|80	1
phdD	phdD|109	1
phdD	phdD|65	1
phdD	phdD|139	1
phdD	phdD|161	1
slr1787	slr1787|103	1
slr1787	slr1787|84	1
slr1787	slr1787|69	1
slr1787	slr1787|27	1
slr1787	slr1787|48	1
fecB3	fecB3|146	1
fecB3	fecB3|32	1
fecB3	fecB3|106	1
fecB3	fecB3|121	1
fecB3	fecB3|77	1
fecB2	fecB2|67	1
fecB2	fecB2|118	1
fecB2	fecB2|145	1
fecB2	fecB2|165	1
fecB2	fecB2|190	1
slr1788	slr1788|18	1
slr1788	slr1788|161	1
slr1788	slr1788|30	1
slr1788	slr1788|122	1
slr1788	slr1788|172	1
slr1789	slr1789|140	1
slr1789	slr1789|27	1
slr1789	slr1789|39	1
slr1789	slr1789|250	1
slr1789	slr1789|97	1
crtE	crtE|100	1
crtE	crtE|184	1
crtE	crtE|124	1
crtE	crtE|76	1
crtE	crtE|7	1
mom72	mom72|42	1
mom72	mom72|82	1
mom72	mom72|61	1
mom72	mom72|99	1
mom72	mom72|110	1
slr0238	slr0238|51	1
slr0238	slr0238|88	1
slr0238	slr0238|40	1
slr0238	slr0238|143	1
slr0238	slr0238|107	1
ctpB	ctpB|6	1
ctpB	ctpB|93	1
ctpB	ctpB|27	1
ctpB	ctpB|82	1
ctpB	ctpB|70	1
mutT	mutT|117	1
mutT	mutT|9	1
mutT	mutT|53	1
mutT	mutT|135	1
mutT	mutT|77	1
rhnB	rhnB|69	1
rhnB	rhnB|143	1
rhnB	rhnB|42	1
rhnB	rhnB|129	1
rhnB	rhnB|86	1
adk	adk|112	1
adk	adk|124	1
adk	adk|43	1
adk	adk|56	1
adk	adk|23	1
sll1033	sll1033|70	1
sll1033	sll1033|84	1
sll1033	sll1033|33	1
sll1033	sll1033|14	1
sll1033	sll1033|53	1
sll1681	sll1681|6	1
sll1681	sll1681|118	1
sll1681	sll1681|98	1
sll1681	sll1681|167	1
sll1681	sll1681|144	1
ndhB	ndhB|77	1
ndhB	ndhB|132	1
ndhB	ndhB|121	1
ndhB	ndhB|148	1
ndhB	ndhB|51	1
sll1682	sll1682|83	1
sll1682	sll1682|55	1
sll1682	sll1682|32	1
sll1682	sll1682|134	1
sll1682	sll1682|115	1
sll1686	sll1686|64	1
sll1686	sll1686|165	1
sll1686	sll1686|193	1
sll1686	sll1686|180	1
sll1686	sll1686|214	1
sll1037	sll1037|58	1
sll1037	sll1037|73	1
sll1037	sll1037|21	1
sll1037	sll1037|94	1
sll1037	sll1037|46	1
rne	rne|232	1
rne	rne|194	1
rne	rne|138	1
rne	rne|206	1
rne	rne|82	1
slr0730	slr0730|17	1
slr0730	slr0730|34	1
slr0730	slr0730|60	1
slr0730	slr0730|4	1
slr0730	slr0730|45	1
atpI	atpI|167	1
atpI	atpI|11	1
atpI	atpI|232	1
atpI	atpI|41	1
atpI	atpI|52	1
atpH	atpH|68	1
atpH	atpH|34	1
atpH	atpH|91	1
atpH	atpH|103	1
atpH	atpH|10	1
atpC	atpC|124	1
atpC	atpC|3	1
atpC	atpC|85	1
atpC	atpC|26	1
atpC	atpC|103	1
hypD	hypD|73	1
hypD	hypD|61	1
hypD	hypD|40	1
hypD	hypD|112	1
hypD	hypD|28	1
atpA	atpA|98	1
atpA	atpA|178	1
atpA	atpA|55	1
atpA	atpA|71	1
atpA	atpA|41	1
atpG	atpG|175	1
atpG	atpG|127	1
atpG	atpG|16	1
atpG	atpG|142	1
atpG	atpG|157	1
atpF	atpF|85	1
atpF	atpF|10	1
atpF	atpF|142	1
atpF	atpF|28	1
atpF	atpF|167	1
atpD	atpD|135	1
atpD	atpD|118	1
atpD	atpD|190	1
atpD	atpD|36	1
atpD	atpD|161	1
glmS	glmS|28	1
glmS	glmS|47	1
glmS	glmS|91	1
glmS	glmS|112	1
glmS	glmS|226	1
ssr2972	ssr2972|58	1
ssr2972	ssr2972|127	1
ssr2972	ssr2972|90	1
ssr2972	ssr2972|103	1
ssr2972	ssr2972|47	1
slr1501	slr1501|79	1
slr1501	slr1501|34	1
slr1501	slr1501|10	1
slr1501	slr1501|48	1
slr1501	slr1501|22	1
slr1774	slr1774|226	1
slr1774	slr1774|91	1
slr1774	slr1774|147	1
slr1774	slr1774|107	1
slr1774	slr1774|160	1
slr1773	slr1773|227	1
slr1773	slr1773|93	1
slr1773	slr1773|78	1
slr1773	slr1773|65	1
slr1773	slr1773|54	1
slr1772	slr1772|133	1
slr1772	slr1772|151	1
slr1772	slr1772|16	1
slr1772	slr1772|222	1
slr1772	slr1772|48	1
trx	trx|126	1
trx	trx|80	1
trx	trx|45	1
trx	trx|102	1
trx	trx|31	1
ssl2009	ssl2009|103	1
ssl2009	ssl2009|233	1
ssl2009	ssl2009|83	1
fhuA	fhuA|187	1
fhuA	fhuA|127	1
fhuA	fhuA|103	1
fhuA	fhuA|28	1
fhuA	fhuA|157	1
slr1776	slr1776|112	1
