Module	Section	Sample Name	Source
featureCounts	all_sections	Lys_t8_r1_T1	/home/ute/Documents/bioinformatic_analyses/2024-01_Lys/work/80/3badfaf90d4540b3da7890731f952b/19/Lys_t8_r1_T1.featureCounts.txt.summary
featureCounts	all_sections	Lys_t8_r2_T1	/home/ute/Documents/bioinformatic_analyses/2024-01_Lys/work/80/3badfaf90d4540b3da7890731f952b/20/Lys_t8_r2_T1.featureCounts.txt.summary
featureCounts	all_sections	BG11_control_t8_r2_T1	/home/ute/Documents/bioinformatic_analyses/2024-01_Lys/work/80/3badfaf90d4540b3da7890731f952b/21/BG11_control_t8_r2_T1.featureCounts.txt.summary
featureCounts	all_sections	Lys_t0_r1_T1	/home/ute/Documents/bioinformatic_analyses/2024-01_Lys/work/80/3badfaf90d4540b3da7890731f952b/22/Lys_t0_r1_T1.featureCounts.txt.summary
featureCounts	all_sections	BG11_control_t0_r2_T1	/home/ute/Documents/bioinformatic_analyses/2024-01_Lys/work/80/3badfaf90d4540b3da7890731f952b/24/BG11_control_t0_r2_T1.featureCounts.txt.summary
featureCounts	all_sections	BG11_control_t8_r1_T1	/home/ute/Documents/bioinformatic_analyses/2024-01_Lys/work/80/3badfaf90d4540b3da7890731f952b/23/BG11_control_t8_r1_T1.featureCounts.txt.summary
featureCounts	all_sections	Lys_t0_r2_T1	/home/ute/Documents/bioinformatic_analyses/2024-01_Lys/work/80/3badfaf90d4540b3da7890731f952b/25/Lys_t0_r2_T1.featureCounts.txt.summary
featureCounts	all_sections	BG11_control_t0_r1_T1	/home/ute/Documents/bioinformatic_analyses/2024-01_Lys/work/80/3badfaf90d4540b3da7890731f952b/26/BG11_control_t0_r1_T1.featureCounts.txt.summary
Cutadapt	all_sections	Lys_t0_r1_T1	/home/ute/Documents/bioinformatic_analyses/2024-01_Lys/work/80/3badfaf90d4540b3da7890731f952b/6/Lys_t0_r1_T1.fastq.gz_trimming_report.txt
Cutadapt	all_sections	BG11_control_t0_r2_T1	/home/ute/Documents/bioinformatic_analyses/2024-01_Lys/work/80/3badfaf90d4540b3da7890731f952b/8/BG11_control_t0_r2_T1.fastq.gz_trimming_report.txt
Cutadapt	all_sections	Lys_t8_r2_T1	/home/ute/Documents/bioinformatic_analyses/2024-01_Lys/work/80/3badfaf90d4540b3da7890731f952b/4/Lys_t8_r2_T1.fastq.gz_trimming_report.txt
Cutadapt	all_sections	Lys_t0_r2_T1	/home/ute/Documents/bioinformatic_analyses/2024-01_Lys/work/80/3badfaf90d4540b3da7890731f952b/9/Lys_t0_r2_T1.fastq.gz_trimming_report.txt
Cutadapt	all_sections	Lys_t8_r1_T1	/home/ute/Documents/bioinformatic_analyses/2024-01_Lys/work/80/3badfaf90d4540b3da7890731f952b/3/Lys_t8_r1_T1.fastq.gz_trimming_report.txt
Cutadapt	all_sections	BG11_control_t8_r2_T1	/home/ute/Documents/bioinformatic_analyses/2024-01_Lys/work/80/3badfaf90d4540b3da7890731f952b/5/BG11_control_t8_r2_T1.fastq.gz_trimming_report.txt
Cutadapt	all_sections	BG11_control_t0_r1_T1	/home/ute/Documents/bioinformatic_analyses/2024-01_Lys/work/80/3badfaf90d4540b3da7890731f952b/10/BG11_control_t0_r1_T1.fastq.gz_trimming_report.txt
Cutadapt	all_sections	BG11_control_t8_r1_T1	/home/ute/Documents/bioinformatic_analyses/2024-01_Lys/work/80/3badfaf90d4540b3da7890731f952b/7/BG11_control_t8_r1_T1.fastq.gz_trimming_report.txt
FastQC	all_sections	BG11_control_t8_r1_T1	/home/ute/Documents/bioinformatic_analyses/2024-01_Lys/work/80/3badfaf90d4540b3da7890731f952b/15/BG11_control_t8_r1_T1_fastqc.zip
FastQC	all_sections	Lys_t8_r2_T1	/home/ute/Documents/bioinformatic_analyses/2024-01_Lys/work/80/3badfaf90d4540b3da7890731f952b/12/Lys_t8_r2_T1_fastqc.zip
FastQC	all_sections	Lys_t0_r2_T1	/home/ute/Documents/bioinformatic_analyses/2024-01_Lys/work/80/3badfaf90d4540b3da7890731f952b/17/Lys_t0_r2_T1_fastqc.zip
FastQC	all_sections	BG11_control_t0_r1_T1	/home/ute/Documents/bioinformatic_analyses/2024-01_Lys/work/80/3badfaf90d4540b3da7890731f952b/18/BG11_control_t0_r1_T1_fastqc.zip
FastQC	all_sections	Lys_t0_r1_T1	/home/ute/Documents/bioinformatic_analyses/2024-01_Lys/work/80/3badfaf90d4540b3da7890731f952b/14/Lys_t0_r1_T1_fastqc.zip
FastQC	all_sections	BG11_control_t8_r2_T1	/home/ute/Documents/bioinformatic_analyses/2024-01_Lys/work/80/3badfaf90d4540b3da7890731f952b/13/BG11_control_t8_r2_T1_fastqc.zip
FastQC	all_sections	Lys_t8_r1_T1	/home/ute/Documents/bioinformatic_analyses/2024-01_Lys/work/80/3badfaf90d4540b3da7890731f952b/11/Lys_t8_r1_T1_fastqc.zip
FastQC	all_sections	BG11_control_t0_r2_T1	/home/ute/Documents/bioinformatic_analyses/2024-01_Lys/work/80/3badfaf90d4540b3da7890731f952b/16/BG11_control_t0_r2_T1_fastqc.zip
