# Program:featureCounts v2.0.1; Command:"featureCounts" "-F" "SAF" "-T" "5" "-a" "Synechocystis_v2_trimmed.saf" "-s" "0" "-o" "BG11_control_t0_r2_T1.featureCounts.txt" "BG11_control_t0_r2_T1.bam" 
Geneid	Chr	Start	End	Strand	Length	BG11_control_t0_r2_T1.bam
sll1677|130	sll1677|130	1	20	.	20	401
sll1677|88	sll1677|88	1	17	.	17	596
sll1677|7	sll1677|7	1	17	.	17	367
sll1677|31	sll1677|31	1	22	.	22	527
sll1677|163	sll1677|163	1	22	.	22	257
sll0218|192	sll0218|192	1	17	.	17	457
sll0218|64	sll0218|64	1	17	.	17	413
sll0218|8	sll0218|8	1	22	.	22	339
sll0218|112	sll0218|112	1	20	.	20	533
sll0218|39	sll0218|39	1	22	.	22	676
ssr1853|89	ssr1853|89	1	19	.	19	460
ssr1853|139	ssr1853|139	1	21	.	21	528
ssr1853|125	ssr1853|125	1	21	.	21	765
ssr1853|76	ssr1853|76	1	18	.	18	1516
ssr1853|103	ssr1853|103	1	20	.	20	242
slr1413|21	slr1413|21	1	22	.	22	393
slr1413|62	slr1413|62	1	18	.	18	374
slr1413|81	slr1413|81	1	17	.	17	269
slr1413|93	slr1413|93	1	22	.	22	549
slr1413|38	slr1413|38	1	17	.	17	559
speA|208	speA|208	1	20	.	20	316
speA|151	speA|151	1	20	.	20	480
speA|61	speA|61	1	17	.	17	246
speA|12	speA|12	1	20	.	20	664
speA|127	speA|127	1	22	.	22	420
gmk|118	gmk|118	1	17	.	17	196
gmk|6	gmk|6	1	20	.	20	20
gmk|141	gmk|141	1	18	.	18	297
gmk|184	gmk|184	1	20	.	20	221
gmk|50	gmk|50	1	22	.	22	360
slr1783|80	slr1783|80	1	20	.	20	700
slr1783|47	slr1783|47	1	17	.	17	571
slr1783|92	slr1783|92	1	18	.	18	241
slr1783|105	slr1783|105	1	21	.	21	196
slr1783|117	slr1783|117	1	17	.	17	165
sll0558|73	sll0558|73	1	22	.	22	440
sll0558|150	sll0558|150	1	22	.	22	1040
sll0558|138	sll0558|138	1	21	.	21	40
sll0558|127	sll0558|127	1	20	.	20	131
sll0558|16	sll0558|16	1	21	.	21	403
phdD|80	phdD|80	1	18	.	18	626
phdD|109	phdD|109	1	22	.	22	59
phdD|65	phdD|65	1	17	.	17	446
phdD|139	phdD|139	1	20	.	20	284
phdD|161	phdD|161	1	19	.	19	573
slr1787|103	slr1787|103	1	17	.	17	163
slr1787|84	slr1787|84	1	19	.	19	231
slr1787|69	slr1787|69	1	19	.	19	165
slr1787|27	slr1787|27	1	19	.	19	316
slr1787|48	slr1787|48	1	21	.	21	346
fecB3|146	fecB3|146	1	19	.	19	333
fecB3|32	fecB3|32	1	22	.	22	117
fecB3|106	fecB3|106	1	20	.	20	910
fecB3|121	fecB3|121	1	18	.	18	229
fecB3|77	fecB3|77	1	17	.	17	162
fecB2|67	fecB2|67	1	22	.	22	453
fecB2|118	fecB2|118	1	21	.	21	173
fecB2|145	fecB2|145	1	20	.	20	409
fecB2|165	fecB2|165	1	22	.	22	314
fecB2|190	fecB2|190	1	21	.	21	419
slr1788|18	slr1788|18	1	21	.	21	184
slr1788|161	slr1788|161	1	20	.	20	476
slr1788|30	slr1788|30	1	20	.	20	133
slr1788|122	slr1788|122	1	20	.	20	366
slr1788|172	slr1788|172	1	18	.	18	803
slr1789|140	slr1789|140	1	20	.	20	263
slr1789|27	slr1789|27	1	22	.	22	282
slr1789|39	slr1789|39	1	20	.	20	314
slr1789|250	slr1789|250	1	19	.	19	364
slr1789|97	slr1789|97	1	20	.	20	230
crtE|100	crtE|100	1	21	.	21	930
crtE|184	crtE|184	1	22	.	22	184
crtE|124	crtE|124	1	20	.	20	506
crtE|76	crtE|76	1	20	.	20	405
crtE|7	crtE|7	1	18	.	18	399
mom72|42	mom72|42	1	21	.	21	503
mom72|82	mom72|82	1	18	.	18	411
mom72|61	mom72|61	1	20	.	20	987
mom72|99	mom72|99	1	20	.	20	519
mom72|110	mom72|110	1	18	.	18	612
slr0238|51	slr0238|51	1	18	.	18	942
slr0238|88	slr0238|88	1	20	.	20	493
slr0238|40	slr0238|40	1	21	.	21	147
slr0238|143	slr0238|143	1	20	.	20	406
slr0238|107	slr0238|107	1	21	.	21	654
ctpB|6	ctpB|6	1	20	.	20	444
ctpB|93	ctpB|93	1	20	.	20	159
ctpB|27	ctpB|27	1	19	.	19	201
ctpB|82	ctpB|82	1	22	.	22	85
ctpB|70	ctpB|70	1	18	.	18	730
mutT|117	mutT|117	1	19	.	19	1418
mutT|9	mutT|9	1	22	.	22	314
mutT|53	mutT|53	1	22	.	22	792
mutT|135	mutT|135	1	20	.	20	850
mutT|77	mutT|77	1	21	.	21	164
rhnB|69	rhnB|69	1	22	.	22	737
