# Program:featureCounts v2.0.1; Command:"featureCounts" "-F" "SAF" "-T" "5" "-a" "Synechocystis_v2_trimmed.saf" "-s" "0" "-o" "Lys_t0_r2_T1.featureCounts.txt" "Lys_t0_r2_T1.bam" 
Geneid	Chr	Start	End	Strand	Length	Lys_t0_r2_T1.bam
sll1677|130	sll1677|130	1	20	.	20	396
sll1677|88	sll1677|88	1	17	.	17	594
sll1677|7	sll1677|7	1	17	.	17	314
sll1677|31	sll1677|31	1	22	.	22	548
sll1677|163	sll1677|163	1	22	.	22	308
sll0218|192	sll0218|192	1	17	.	17	436
sll0218|64	sll0218|64	1	17	.	17	382
sll0218|8	sll0218|8	1	22	.	22	435
sll0218|112	sll0218|112	1	20	.	20	568
sll0218|39	sll0218|39	1	22	.	22	736
ssr1853|89	ssr1853|89	1	19	.	19	413
ssr1853|139	ssr1853|139	1	21	.	21	562
ssr1853|125	ssr1853|125	1	21	.	21	831
ssr1853|76	ssr1853|76	1	18	.	18	1508
ssr1853|103	ssr1853|103	1	20	.	20	275
slr1413|21	slr1413|21	1	22	.	22	462
slr1413|62	slr1413|62	1	18	.	18	366
slr1413|81	slr1413|81	1	17	.	17	285
slr1413|93	slr1413|93	1	22	.	22	569
slr1413|38	slr1413|38	1	17	.	17	525
speA|208	speA|208	1	20	.	20	367
speA|151	speA|151	1	20	.	20	414
speA|61	speA|61	1	17	.	17	252
speA|12	speA|12	1	20	.	20	576
speA|127	speA|127	1	22	.	22	459
gmk|118	gmk|118	1	17	.	17	274
gmk|6	gmk|6	1	20	.	20	24
gmk|141	gmk|141	1	18	.	18	274
gmk|184	gmk|184	1	20	.	20	236
gmk|50	gmk|50	1	22	.	22	364
slr1783|80	slr1783|80	1	20	.	20	733
slr1783|47	slr1783|47	1	17	.	17	499
slr1783|92	slr1783|92	1	18	.	18	215
slr1783|105	slr1783|105	1	21	.	21	228
slr1783|117	slr1783|117	1	17	.	17	117
sll0558|73	sll0558|73	1	22	.	22	408
sll0558|150	sll0558|150	1	22	.	22	963
sll0558|138	sll0558|138	1	21	.	21	66
sll0558|127	sll0558|127	1	20	.	20	169
sll0558|16	sll0558|16	1	21	.	21	413
phdD|80	phdD|80	1	18	.	18	684
phdD|109	phdD|109	1	22	.	22	92
phdD|65	phdD|65	1	17	.	17	395
phdD|139	phdD|139	1	20	.	20	285
phdD|161	phdD|161	1	19	.	19	611
slr1787|103	slr1787|103	1	17	.	17	149
slr1787|84	slr1787|84	1	19	.	19	279
slr1787|69	slr1787|69	1	19	.	19	149
slr1787|27	slr1787|27	1	19	.	19	253
slr1787|48	slr1787|48	1	21	.	21	412
fecB3|146	fecB3|146	1	19	.	19	301
fecB3|32	fecB3|32	1	22	.	22	123
fecB3|106	fecB3|106	1	20	.	20	965
fecB3|121	fecB3|121	1	18	.	18	182
fecB3|77	fecB3|77	1	17	.	17	180
fecB2|67	fecB2|67	1	22	.	22	455
fecB2|118	fecB2|118	1	21	.	21	174
fecB2|145	fecB2|145	1	20	.	20	367
fecB2|165	fecB2|165	1	22	.	22	292
fecB2|190	fecB2|190	1	21	.	21	374
slr1788|18	slr1788|18	1	21	.	21	190
slr1788|161	slr1788|161	1	20	.	20	502
slr1788|30	slr1788|30	1	20	.	20	149
slr1788|122	slr1788|122	1	20	.	20	362
slr1788|172	slr1788|172	1	18	.	18	812
slr1789|140	slr1789|140	1	20	.	20	252
slr1789|27	slr1789|27	1	22	.	22	352
slr1789|39	slr1789|39	1	20	.	20	331
slr1789|250	slr1789|250	1	19	.	19	410
slr1789|97	slr1789|97	1	20	.	20	211
crtE|100	crtE|100	1	21	.	21	988
crtE|184	crtE|184	1	22	.	22	170
crtE|124	crtE|124	1	20	.	20	526
crtE|76	crtE|76	1	20	.	20	476
crtE|7	crtE|7	1	18	.	18	360
mom72|42	mom72|42	1	21	.	21	526
mom72|82	mom72|82	1	18	.	18	387
mom72|61	mom72|61	1	20	.	20	996
mom72|99	mom72|99	1	20	.	20	594
mom72|110	mom72|110	1	18	.	18	704
slr0238|51	slr0238|51	1	18	.	18	965
slr0238|88	slr0238|88	1	20	.	20	509
slr0238|40	slr0238|40	1	21	.	21	174
slr0238|143	slr0238|143	1	20	.	20	460
slr0238|107	slr0238|107	1	21	.	21	620
ctpB|6	ctpB|6	1	20	.	20	391
ctpB|93	ctpB|93	1	20	.	20	156
ctpB|27	ctpB|27	1	19	.	19	210
ctpB|82	ctpB|82	1	22	.	22	64
ctpB|70	ctpB|70	1	18	.	18	668
mutT|117	mutT|117	1	19	.	19	1492
mutT|9	mutT|9	1	22	.	22	352
mutT|53	mutT|53	1	22	.	22	957
mutT|135	mutT|135	1	20	.	20	781
mutT|77	mutT|77	1	21	.	21	160
rhnB|69	rhnB|69	1	22	.	22	797
rhnB|143	rhnB|143	1	18	.	18	316
rhnB|42	rhnB|42	1	21	.	21	496
rhnB|129	rhnB|129	1	17	.	17	466
rhnB|86	rhnB|86	1	19	.	19	353
adk|112	adk|112	1	21	.	21	626
adk|124	adk|124	1	19	.	19	212
adk|43	adk|43	1	17	.	17	564
adk|56	adk|56	1	21	.	21	413
adk|23	adk|23	1	20	.	20	676
sll1033|70	sll1033|70	1	19	.	19	133
sll1033|84	sll1033|84	1	21	.	21	271
sll1033|33	sll1033|33	1	22	.	22	244
sll1033|14	sll1033|14	1	17	.	17	377
sll1033|53	sll1033|53	1	17	.	17	563
sll1681|6	sll1681|6	1	20	.	20	200
sll1681|118	sll1681|118	1	20	.	20	860
sll1681|98	sll1681|98	1	17	.	17	361
sll1681|167	sll1681|167	1	17	.	17	231
sll1681|144	sll1681|144	1	18	.	18	289
ndhB|77	ndhB|77	1	17	.	17	416
ndhB|132	ndhB|132	1	22	.	22	184
ndhB|121	ndhB|121	1	17	.	17	491
ndhB|148	ndhB|148	1	19	.	19	316
ndhB|51	ndhB|51	1	19	.	19	390
sll1682|83	sll1682|83	1	20	.	20	1000
sll1682|55	sll1682|55	1	17	.	17	616
sll1682|32	sll1682|32	1	21	.	21	454
sll1682|134	sll1682|134	1	21	.	21	544
sll1682|115	sll1682|115	1	18	.	18	606
sll1686|64	sll1686|64	1	22	.	22	535
sll1686|165	sll1686|165	1	17	.	17	299
sll1686|193	sll1686|193	1	20	.	20	235
sll1686|180	sll1686|180	1	21	.	21	1430
sll1686|214	sll1686|214	1	21	.	21	709
sll1037|58	sll1037|58	1	22	.	22	1463
sll1037|73	sll1037|73	1	19	.	19	1348
sll1037|21	sll1037|21	1	21	.	21	587
sll1037|94	sll1037|94	1	19	.	19	598
sll1037|46	sll1037|46	1	17	.	17	505
rne|232	rne|232	1	20	.	20	629
rne|194	rne|194	1	17	.	17	800
rne|138	rne|138	1	17	.	17	527
rne|206	rne|206	1	20	.	20	639
rne|82	rne|82	1	17	.	17	1104
slr0730|17	slr0730|17	1	18	.	18	98
slr0730|34	slr0730|34	1	20	.	20	729
slr0730|60	slr0730|60	1	19	.	19	303
slr0730|4	slr0730|4	1	19	.	19	248
slr0730|45	slr0730|45	1	21	.	21	705
atpI|167	atpI|167	1	20	.	20	93
atpI|11	atpI|11	1	18	.	18	57
atpI|232	atpI|232	1	18	.	18	102
atpI|41	atpI|41	1	17	.	17	108
atpI|52	atpI|52	1	21	.	21	167
atpH|68	atpH|68	1	20	.	20	221
atpH|34	atpH|34	1	22	.	22	246
atpH|91	atpH|91	1	19	.	19	293
atpH|103	atpH|103	1	22	.	22	412
atpH|10	atpH|10	1	19	.	19	91
atpC|124	atpC|124	1	22	.	22	426
atpC|3	atpC|3	1	17	.	17	78
atpC|85	atpC|85	1	21	.	21	488
atpC|26	atpC|26	1	17	.	17	91
atpC|103	atpC|103	1	22	.	22	525
hypD|73	hypD|73	1	19	.	19	973
hypD|61	hypD|61	1	21	.	21	558
hypD|40	hypD|40	1	18	.	18	387
hypD|112	hypD|112	1	20	.	20	318
hypD|28	hypD|28	1	19	.	19	289
atpA|98	atpA|98	1	18	.	18	915
atpA|178	atpA|178	1	20	.	20	198
atpA|55	atpA|55	1	20	.	20	135
atpA|71	atpA|71	1	19	.	19	294
atpA|41	atpA|41	1	18	.	18	66
atpG|175	atpG|175	1	20	.	20	224
atpG|127	atpG|127	1	17	.	17	225
atpG|16	atpG|16	1	19	.	19	145
atpG|142	atpG|142	1	22	.	22	191
atpG|157	atpG|157	1	17	.	17	388
atpF|85	atpF|85	1	19	.	19	167
atpF|10	atpF|10	1	17	.	17	466
atpF|142	atpF|142	1	19	.	19	138
atpF|28	atpF|28	1	22	.	22	621
atpF|167	atpF|167	1	20	.	20	102
atpD|135	atpD|135	1	18	.	18	363
atpD|118	atpD|118	1	20	.	20	275
atpD|190	atpD|190	1	18	.	18	200
atpD|36	atpD|36	1	22	.	22	390
atpD|161	atpD|161	1	20	.	20	374
glmS|28	glmS|28	1	20	.	20	137
glmS|47	glmS|47	1	21	.	21	229
glmS|91	glmS|91	1	17	.	17	255
glmS|112	glmS|112	1	21	.	21	178
glmS|226	glmS|226	1	18	.	18	333
ssr2972|58	ssr2972|58	1	19	.	19	209
ssr2972|127	ssr2972|127	1	21	.	21	204
ssr2972|90	ssr2972|90	1	17	.	17	597
ssr2972|103	ssr2972|103	1	18	.	18	813
ssr2972|47	ssr2972|47	1	19	.	19	713
slr1501|79	slr1501|79	1	20	.	20	589
slr1501|34	slr1501|34	1	21	.	21	376
slr1501|10	slr1501|10	1	18	.	18	241
slr1501|48	slr1501|48	1	21	.	21	377
slr1501|22	slr1501|22	1	22	.	22	370
