sgRNA_target	locus	Gene name	Product	condition	wmean_fitness	sd_fitness	p_fitness_adj	comb_score
aat	sll0869	aat	Leu/Phe-tRNA-protein transferase	BG11_Control	0.12432249338791977	0.1479979842623802	0.7097614513910928	0.018510076644279085
aat	sll0869	aat	Leu/Phe-tRNA-protein transferase	BG11_Lys	0.1909727758245696	0.12837340960470098	0.3494466145833333	0.08720182897396936
abfB	slr0518	abfB	similar to alpha-L-arabinofuranosidase B	BG11_Control	0.5829276341119789	0.4232676190436121	0.9741107326334599	0.0066405201885027425
abfB	slr0518	abfB	similar to alpha-L-arabinofuranosidase B	BG11_Lys	3.7962995412882865	2.016094577811775	0.8781329755906027	0.21426206015252686
accA	sll0728	accA	acetyl-CoA carboxylase alpha subunit	BG11_Control	-1.0529752912631014	0.3091751742802186	0.39064774381368267	0.4298399711657366
accA	sll0728	accA	acetyl-CoA carboxylase alpha subunit	BG11_Lys	-0.9822389710964622	0.46223044196859325	0.3494466145833333	0.4485091364425863
accB	slr0435	accB	biotin carboxyl carrier protein of acetyl-CoA c arboxylase	BG11_Control	-0.2779332035350412	0.5473664294824719	0.8957777036048065	0.013285138085676737
accB	slr0435	accB	biotin carboxyl carrier protein of acetyl-CoA c arboxylase	BG11_Lys	-1.1337667842136907	0.7520065901655832	0.3494466145833333	0.517699639576846
accC	sll0053	accC	biotin carboxylase	BG11_Control	-0.6690467988142803	0.5040928622254673	0.46665797252651714	0.22145536696147836
accC	sll0053	accC	biotin carboxylase	BG11_Lys	-0.4250230827096866	0.20376647831300293	0.3494466145833333	0.19407368410713027
accD	sll0336	accD;  ycf11;  zfpA	acetyl-CoA carboxylase beta subunit	BG11_Control	-1.9793035119091231	1.028014535465102	0.39064774381368267	0.8079807489753126
accD	sll0336	accD;  ycf11;  zfpA	acetyl-CoA carboxylase beta subunit	BG11_Lys	-1.4539939146302188	0.2736268109772679	0.3494466145833333	0.6639214837053453
ackA	sll1299	ackA	acetate kinase	BG11_Control	0.23170392144250251	0.3092175857412579	0.8957777036048065	0.011075389885787238
ackA	sll1299	ackA	acetate kinase	BG11_Lys	0.2412176376948528	0.21634088395574497	0.6756671701913397	0.04107144751043028
acp	ssl2084	acpP	acyl carrier protein	BG11_Control	-1.9324533602330494	1.3607256245236676	0.5820741758241759	0.45416841225109034
acp	ssl2084	acpP	acyl carrier protein	BG11_Lys	-1.9147650411834918	0.6937638947089371	0.3494466145833333	0.8743184096564648
acs	sll0542	acs	acetyl-coenzyme A synthetase	BG11_Control	-0.08798343819794159	0.13666809600127872	1	-0
acs	sll0542	acs	acetyl-coenzyme A synthetase	BG11_Lys	-0.21325323915412853	0.2005503829057822	0.6756671701913397	0.03631002816397667
act	sll1900	act	acetyltransferase	BG11_Control	-0.07458434558689518	0.1573234235688548	1	-0
act	sll1900	act	acetyltransferase	BG11_Lys	-0.21566025558389917	0.21333445020417469	0.8781329755906027	0.012171803134045095
adk	sll1059	adk1	adenylate kinase	BG11_Control	-0.057110295275906456	0.165006811116867	0.9741107326334599	6.505817301468988e-4
adk	sll1059	adk1	adenylate kinase	BG11_Lys	0.17001613026789572	0.12070048806316272	0.546885613367749	0.04456182300907228
adk2	sll1815	adk2	adenylate kinase	BG11_Control	-1.8230650362673582	1.0252712480792778	0.5820741758241759	0.4284597858818027
adk2	sll1815	adk2	adenylate kinase	BG11_Lys	-1.8774714422077987	1.2104756202143312	0.6756671701913397	0.31967177246183126
agp	slr1176	glgC	glucose-1-phosphate adenylyltransferase	BG11_Control	2.0429739133037725	1.173800694740312	0.39064774381368267	0.8339719414816035
agp	slr1176	glgC	glucose-1-phosphate adenylyltransferase	BG11_Lys	0.5195235249937663	0.33175448850494876	0.6756671701913397	0.08845780678031445
ahcY	sll1234	ahcY	adenosylhomocysteinase	BG11_Control	-0.455801320945847	0.4527775011310575	0.7097614513910928	0.0678631610045482
ahcY	sll1234	ahcY	adenosylhomocysteinase	BG11_Lys	-0.7934707273837651	0.3717815440568228	0.4446239231278993	0.2793073881277061
alaS	sll0362	alaS	alanyl-tRNA synthetase	BG11_Control	-1.1027107273626702	0.5638337853630365	0.39064774381368267	0.45014270627864655
